time_local;userid;lat;lon
12.1.2018 2:19;user1;37.7706565;-122.4359785
23.12.2017 20:24;user1;37.7706565;-122.4359785
23.12.2017 20:21;user1;37.7706565;-122.4359785
20.12.2017 3:07;user1;37.7706565;-122.4359785
19.12.2017 5:53;user1;37.7706565;-122.4359785
12.12.2017 18:32;user1;37.4972935;-122.2329345
12.12.2017 18:30;user1;37.4972935;-122.2329345
23.9.2017 15:56;user1;37.7706565;-122.4359785
2.12.2017 4:15;user1;37.7706565;-122.4359785
8.11.2017 3:53;user1;37.7706565;-122.4359785
1.11.2017 1:25;user1;37.7706565;-122.4359785
11.10.2017 5:19;user1;37.7706565;-122.4359785
8.10.2017 1:12;user1;37.7706565;-122.4359785
4.10.2017 19:16;user1;41.83358445;-87.732013
4.10.2017 18:16;user1;41.83358445;-87.732013
29.9.2017 20:48;user1;49.257639;-123.123581
29.9.2017 16:26;user1;49.257639;-123.123581
27.9.2017 15:59;user1;37.7706565;-122.4359785
20.9.2017 21:22;user1;38.6202045;-122.86418905
9.9.2017 21:02;user1;37.7706565;-122.4359785
22.8.2017 18:49;user1;37.7706565;-122.4359785
15.8.2017 16:01;user1;37.7706565;-122.4359785
6.2.2017 2:48;user1;37.7706565;-122.4359785
8.6.2017 15:20;user1;37.7706565;-122.4359785
1.6.2017 20:09;user1;37.7706565;-122.4359785
24.5.2017 22:14;user1;37.7706565;-122.4359785
11.5.2017 19:34;user1;37.7706565;-122.4359785
8.7.2016 17:24;user1;37.7706565;-122.4359785
16.2.2017 1:40;user1;37.7706565;-122.4359785
3.2.2017 22:57;user1;37.7706565;-122.4359785
1.2.2017 23:08;user1;37.7706565;-122.4359785
25.1.2017 16:23;user1;38.1159235;-122.5156015
27.10.2016 1:00;user1;37.7706565;-122.4359785
24.11.2016 1:26;user1;34.429885;-119.701636
23.11.2016 23:41;user1;34.2896895;-119.2289915
27.10.2016 0:52;user1;37.7706565;-122.4359785
27.10.2016 0:49;user1;37.7706565;-122.4359785
26.9.2016 15:32;user1;29.982601;-90.011008
26.8.2016 20:54;user1;37.7706565;-122.4359785
25.7.2016 4:30;user1;49.257639;-123.123581
17.7.2016 2:04;user1;37.7706565;-122.4359785
31.5.2016 15:24;user1;37.7706565;-122.4359785
10.6.2016 2:33;user1;37.7919941;-122.2286855
10.6.2016 2:32;user1;37.7919941;-122.2286855
4.6.2016 5:13;user1;38.505472;-122.99320795
28.5.2016 5:56;user1;37.7706565;-122.4359785
27.5.2016 23:49;user1;37.7706565;-122.4359785
27.5.2016 23:36;user1;37.7706565;-122.4359785
27.5.2016 23:29;user1;37.7706565;-122.4359785
21.4.2016 4:46;user1;37.7706565;-122.4359785
30.1.2016 20:25;user1;37.7706565;-122.4359785
1.4.2016 4:49;user1;37.7706565;-122.4359785
1.3.2016 8:16;user1;37.7706565;-122.4359785
3.1.2016 3:08;user1;37.7706565;-122.4359785
1.3.2016 7:06;user1;37.7706565;-122.4359785
16.1.2016 18:34;user1;39.251176;-121.0060582
31.12.2015 16:50;user1;37.7706565;-122.4359785
3.1.2016 3:07;user1;37.7706565;-122.4359785
29.12.2015 17:22;user1;37.7706565;-122.4359785
22.11.2015 5:54;user1;37.7706565;-122.4359785
21.12.2015 19:22;user1;37.7706565;-122.4359785
21.12.2015 19:21;user1;37.7706565;-122.4359785
19.12.2015 18:12;user1;37.7706565;-122.4359785
22.11.2015 5:52;user1;37.7706565;-122.4359785
25.11.2015 20:49;user1;37.7706565;-122.4359785
25.11.2015 20:48;user1;37.7706565;-122.4359785
19.11.2015 7:25;user1;37.7706565;-122.4359785
16.11.2015 22:36;user1;37.7706565;-122.4359785
31.10.2015 22:50;user1;37.7706565;-122.4359785
29.10.2015 5:02;user1;37.7706565;-122.4359785
29.10.2015 5:01;user1;37.7706565;-122.4359785
22.10.2015 23:06;user1;37.7706565;-122.4359785
18.10.2015 21:08;user1;38.4695215;-123.016603
2.10.2015 2:17;user1;37.7706565;-122.4359785
23.9.2015 16:49;user1;37.7706565;-122.4359785
29.6.2015 2:20;user1;37.7706565;-122.4359785
24.6.2015 20:18;user1;37.7706565;-122.4359785
12.6.2015 15:53;user1;37.7706565;-122.4359785
18.3.2014 22:47;user1;37.7541245;-122.28203
21.2.2014 17:43;user1;37.7541245;-122.28203
23.12.2013 5:19;user1;37.7706565;-122.4359785
18.12.2013 17:30;user1;37.7706565;-122.4359785
4.12.2013 22:25;user1;37.7706565;-122.4359785
18.12.2013 1:04;user1;37.7706565;-122.4359785
17.12.2013 21:52;user1;37.7706565;-122.4359785
4.12.2013 1:56;user1;37.7706565;-122.4359785
20.11.2013 21:45;user1;37.7706565;-122.4359785
29.2.2012 2:32;user1;37.7706565;-122.4359785
